egoid, lanePos, lateralPos, speed, acce
lane1.1, 7.876044659080167, 4.800000000000001, 28.010446590801667, 5.0
lane1.1, 10.702089318160333, 4.800000000000001, 28.510446590801667, 5.0
lane1.1, 13.5781339772405, 4.800000000000001, 29.010446590801667, 5.0
lane1.1, 16.504178636320667, 4.800000000000001, 29.510446590801667, 5.0
lane1.1, 19.480223295400833, 4.800000000000001, 30.010446590801667, 5.0
lane1.1, 22.506267954481, 4.800000000000001, 30.510446590801667, 5.0
lane1.1, 25.582312613561168, 4.800000000000001, 31.010446590801667, 5.0
lane1.1, 28.708357272641337, 4.800000000000001, 31.510446590801667, 5.0
lane1.1, 31.884401931721502, 4.800000000000001, 32.01044659080166, 4.9999999999999645
lane1.1, 35.11044659080167, 4.800000000000001, 32.51044659080166, 5.0
lane1.1, 38.386491249881836, 4.800000000000001, 33.01044659080166, 5.0
lane1.1, 41.712535908962, 4.800000000000001, 33.51044659080166, 5.0
lane1.1, 45.08858056804217, 4.800000000000001, 34.01044659080166, 5.0
lane1.1, 48.51462522712234, 4.800000000000001, 34.51044659080166, 5.0
lane1.1, 51.99014755666242, 4.800000000000001, 35.0, 4.8955340919833645
lane1.1, 55.49014755666242, 4.800000000000001, 35.0, 0.0
lane1.1, 58.99014755666242, 4.800000000000001, 35.0, 0.0
lane1.1, 62.49014755666242, 4.800000000000001, 35.0, 0.0
lane1.1, 65.99014755666242, 4.800000000000001, 35.0, 0.0
lane1.1, 69.49014755666242, 4.800000000000001, 35.0, 0.0
lane1.1, 72.99014755666242, 4.800000000000001, 35.0, 0.0
lane1.1, 76.49014755666242, 4.800000000000001, 35.0, 0.0
lane1.1, 79.99014755666242, 4.800000000000001, 35.0, 0.0
lane1.1, 83.49014755666242, 4.800000000000001, 35.0, 0.0
lane1.1, 86.99014755666242, 4.800000000000001, 35.0, 0.0
lane1.1, 90.49014755666242, 4.800000000000001, 35.0, 0.0
lane1.1, 93.99014755666242, 4.800000000000001, 35.0, 0.0
lane1.1, 97.49014755666242, 4.800000000000001, 35.0, 0.0
lane1.1, 100.99014755666242, 4.800000000000001, 35.0, 0.0
lane1.1, 104.49014755666242, 4.800000000000001, 35.0, 0.0
lane1.1, 107.99014755666242, 4.800000000000001, 35.0, 0.0
lane1.1, 111.49014755666242, 4.800000000000001, 35.0, 0.0
lane1.1, 114.99014755666242, 4.800000000000001, 35.0, 0.0
lane1.1, 118.49014755666242, 4.800000000000001, 35.0, 0.0
lane1.1, 121.99014755666242, 4.800000000000001, 35.0, 0.0
lane1.1, 125.49014755666242, 4.800000000000001, 35.0, 0.0
lane1.1, 128.9901475566624, 4.800000000000001, 35.0, 0.0
lane1.1, 132.4901475566624, 4.800000000000001, 35.0, 0.0
lane1.1, 135.9901475566624, 4.800000000000001, 35.0, 0.0
lane1.1, 139.4901475566624, 4.800000000000001, 35.0, 0.0
lane1.1, 142.9901475566624, 4.800000000000001, 35.0, 0.0
lane1.1, 146.4901475566624, 4.800000000000001, 35.0, 0.0
lane1.1, 149.9901475566624, 4.800000000000001, 35.0, 0.0
lane1.1, 153.4901475566624, 4.800000000000001, 35.0, 0.0
lane1.1, 156.9901475566624, 4.800000000000001, 35.0, 0.0
lane1.1, 160.4901475566624, 4.800000000000001, 35.0, 0.0
lane1.1, 163.9901475566624, 4.800000000000001, 35.0, 0.0
lane1.1, 167.4901475566624, 4.800000000000001, 35.0, 0.0
lane1.1, 170.9901475566624, 4.800000000000001, 35.0, 0.0
lane1.1, 174.4901475566624, 4.800000000000001, 35.0, 0.0
lane1.1, 177.9901475566624, 4.800000000000001, 35.0, 0.0
lane1.1, 181.4901475566624, 4.800000000000001, 35.0, 0.0
lane1.1, 184.9701475566624, 4.800000000000001, 34.6, -3.999999999999986
lane1.1, 188.4101475566624, 4.800000000000001, 34.2, -3.999999999999986
lane1.1, 191.8101475566624, 4.790000000000001, 33.800000000000004, -3.999999999999986
lane1.1, 195.1701475566624, 4.7700000000000005, 33.400000000000006, -3.999999999999986
lane1.1, 198.4901475566624, 4.740000000000001, 33.00000000000001, -3.999999999999986
lane1.1, 201.7701475566624, 4.700000000000001, 32.60000000000001, -3.999999999999986
lane1.1, 205.01014755666242, 4.65, 32.20000000000001, -3.999999999999986
lane1.1, 208.2101475566624, 4.590000000000001, 31.80000000000001, -3.999999999999986
lane1.1, 211.3701475566624, 4.5200000000000005, 31.400000000000013, -3.999999999999986
lane1.1, 214.4901475566624, 4.44, 31.000000000000014, -3.999999999999986
lane1.1, 217.57014755666242, 4.3500000000000005, 30.600000000000016, -3.999999999999986
lane1.1, 220.6101475566624, 4.250000000000001, 30.200000000000017, -3.999999999999986
lane1.1, 223.6101475566624, 4.15, 29.80000000000002, -3.999999999999986
lane1.1, 226.57014755666242, 4.050000000000001, 29.40000000000002, -3.999999999999986
lane1.1, 229.49014755666244, 3.9500000000000006, 29.00000000000002, -3.999999999999986
lane1.1, 232.37014755666243, 3.8500000000000005, 28.600000000000023, -3.999999999999986
lane1.1, 235.21014755666243, 3.750000000000001, 28.200000000000024, -3.999999999999986
lane1.1, 238.01014755666245, 3.6500000000000004, 27.800000000000026, -3.999999999999986
lane1.1, 240.77014755666244, 3.5500000000000007, 27.400000000000027, -3.999999999999986
lane1.1, 243.49014755666244, 3.45, 27.00000000000003, -3.999999999999986
lane1.1, 246.17014755666244, 3.3500000000000005, 26.60000000000003, -3.999999999999986
lane1.1, 248.81014755666246, 3.25, 26.20000000000003, -3.999999999999986
lane1.1, 251.41014755666245, 3.1499999999999995, 25.800000000000033, -3.999999999999986
lane1.1, 253.97014755666245, 3.05, 25.400000000000034, -3.999999999999986
lane1.1, 256.49014755666246, 2.9499999999999993, 25.000000000000036, -3.999999999999986
lane1.1, 258.9701475566625, 2.8499999999999996, 24.600000000000037, -3.999999999999986
lane1.1, 261.4101475566625, 2.749999999999999, 24.20000000000004, -3.999999999999986
lane1.1, 263.81014755666246, 2.6499999999999995, 23.80000000000004, -3.999999999999986
lane1.1, 266.17014755666247, 2.5499999999999994, 23.40000000000004, -3.999999999999986
lane1.1, 268.49014755666246, 2.4499999999999993, 23.000000000000043, -3.999999999999986
lane1.1, 270.7701475566625, 2.349999999999999, 22.600000000000044, -3.999999999999986
lane1.1, 273.0101475566625, 2.249999999999999, 22.200000000000045, -3.999999999999986
lane1.1, 275.2101475566625, 2.1499999999999995, 21.800000000000047, -3.999999999999986
lane1.1, 277.3701475566625, 2.0499999999999994, 21.40000000000005, -3.999999999999986
lane1.1, 279.4901475566625, 1.9599999999999993, 21.00000000000005, -3.999999999999986
lane1.1, 281.5701475566625, 1.8799999999999994, 20.60000000000005, -3.999999999999986
lane1.1, 283.6101475566625, 1.8099999999999994, 20.200000000000053, -3.999999999999986
lane1.1, 285.6101475566625, 1.7499999999999993, 19.800000000000054, -3.999999999999986
lane1.1, 287.5701475566625, 1.6999999999999993, 19.400000000000055, -3.999999999999986
lane1.1, 289.4901475566625, 1.6599999999999993, 19.000000000000057, -3.999999999999986
lane1.1, 291.39014755666255, 1.6299999999999992, 19.000000000000057, 0.0
lane1.1, 293.29014755666253, 1.6099999999999992, 19.000000000000057, 0.0
lane1.1, 295.1901475566625, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 297.0901475566625, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 298.99014755666246, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 300.89014755666244, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 302.7901475566624, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 304.6901475566624, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 306.5901475566624, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 308.49014755666235, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 310.3901475566623, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 312.2901475566623, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 314.1901475566623, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 316.09014755666226, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 317.99014755666224, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 319.8901475566622, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 321.7901475566622, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 323.69014755666217, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 325.59014755666215, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 327.4901475566621, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 329.3901475566621, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 331.2901475566621, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 333.19014755666205, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 335.09014755666203, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 336.990147556662, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 338.890147556662, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 340.79014755666196, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 342.69014755666194, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 344.5901475566619, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 346.4901475566619, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 348.3901475566619, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 350.29014755666185, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 352.1901475566618, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 354.0901475566618, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 355.9901475566618, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 357.89014755666176, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 359.79014755666174, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 361.6901475566617, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 363.5901475566617, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 365.49014755666167, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 367.39014755666165, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 369.2901475566616, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 371.1901475566616, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 373.0901475566616, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 374.99014755666155, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 376.89014755666153, 1.5999999999999992, 19.000000000000057, 0.0
lane1.1, 378.7901475566615, 1.5999999999999992, 19.000000000000057, 0.0
